idelem,descripcion,accesoAsociado,intensidad,ocupacion,carga,nivelServicio,intensidadSat,error,subarea,st_x,st_y,velocidad
10577,(AFOROS)(CARRIL BUS) OPORTO O-E (ELVAS-PORTALEGRE),0,0,0,0,0,1300,N,1722,"438465,098156276","4470807,98661635",
10578,(CARRIL BUS) OPORTO O-E (PORTALEGRE-MERCEDES DOMINGO),0,76,3,8,0,1500,N,1722,"438619,281883306","4470777,52296532",
10579,(CARRIL BUS) OPORTO O-E(MERCEDES DOMINGO-A. LANCHA),0,33,1,3,0,1500,N,1720,"438816,944803631","4470761,10857095",
3574,SAN VICENTE PAUL S-N,500303,38,17,19,0,1400,N,1722,"438374,597659671","4470804,17382533",
10580,(CARRIL BUS) AV. OPORTO O-E (VIANA - PLAZA ELIPTICA),0,33,1,3,0,1500,N,1720,"438901,163080168","4470759,39523465",
10581,(CARRIL BUS) MARCELO USERA E-O(SAN MAGIN-S. FILIBERTO),0,65,2,6,0,1500,N,1720,"439282,451657782","4470760,36049363",
3634,ANTONIO LEYVA S-N (ARLANZA-GUADALETE),500903,152,4,14,0,1500,N,1739,"439170,97286946","4471038,95553218",
10257,MERCEDES DOMINGO N-S (SANTIAGO PRIETO - VIA),501701,0,0,0,0,1500,N,1722,"438764,580033489","4470950,14972796",
10256,MERCEDES DOMINGO S-N (JULIO DOMINGO-VIA),501703,38,0,3,0,1500,N,1722,"438756,601260758","4470903,70803052",
10250,AV. OPORTO O-E(VIANA-PL. ELIPTICA),501607,393,5,30,1,1500,N,1720,"438901,436464412","4470762,8125377",
10251,VALLE DE ORO E-O (PORTALEGRE - ARGÜESO),501802,493,1,17,0,3000,N,1722,"438499,670000404","4470977,53413729",
10614,VÍA E-O (PL. ELÍPTICA - ÉVORA),500602,455,3,17,0,3000,N,1722,"438965,418336078","4470830,24621834",
10613,SANTA LUCRECIA N-S (EUSEBIO MORÁN - VÍA),500601,152,3,13,0,1500,N,1722,"438934,602756828","4470895,00321157",
10615,TV. ANTONIA LANCHA S-N (ANTONIA LANCHA-VÍA),500603,76,3,8,0,1500,N,1722,"438910,761122974","4470828,88720207",
10637,VALLE ORO E-O (CNO. VIEJO LEGANES - DR. ESPINA),502002,227,1,8,0,3000,N,1722,"438267,57984016","4471042,81060973",
10638,CNO. VIEJO LEGANES S-N (PL. VALLE ORO - VALLE ORO),501203,76,0,5,0,1500,N,1722,"438270,202904706","4470986,88982684",
10617,VALLE ORO E-O (DR. ESPINA - FERREIRA),502102,227,1,8,0,3000,N,1722,"438142,44418197","4471077,03904116",
10618,DR. ESPINA N-S (CASTRO ORO - VALLE ORO),502001,114,2,9,0,1500,N,1722,"438173,840820258","4471112,96709397",
10616,FERREIRA N-S (CASTRO ORO - VALLE ORO),502101,0,0,0,0,1500,N,1722,"438085,224676787","4471125,61878995",
3635,(MICRO)MARCELO USERA CCTV,0,48,1,4,0,1500,N,1740,"439164,006974246","4470763,61528204",
10332,(MICRO)PSO. STA. Mª CABEZA S-N,0,524,45,63,2,1600,N,1720,"439088,582551498","4470692,08551",
10848,(MICRO)VIA LUSITANA O-E (A 4mts LINEA DETENCION),0,65,85,86,3,1600,N,1720,"439034,125915445","4470713,12990608",
10849,(MICRO)ANTONIO LEYVA N-S (A 4mts LINEA DETENCION),0,131,62,65,2,1500,N,1720,"439112,049847181","4470827,74426537",
10850,(MICRO)PSO. STA. MARIA CABEZA N-S (A 4mts LINEA DETENCION),0,425,5,30,1,1600,N,1720,"439135,403927623","4470827,82898322",
5093,(TACTICO) DR. ESPINA N-S,500101,38,11,13,0,1400,N,1722,"438097,094234734","4470982,68751242",
3687,(TACTICO) LUIS GOMEZ S-N,500103,38,0,3,0,1400,N,1722,"438061,823227531","4470965,29015837",
3573,(TACTICO) ARGUESO N-S,500301,38,2,5,0,1400,N,1722,"438380,904404919","4470842,11576112",
3633,(TACTICO)SAN FILIBERTO N-S,500701,33,2,5,0,1500,N,1720,"439198,660585758","4470788,97395994",
5094,(TACTICO) GUADALETE E-O,501002,76,7,12,0,1400,N,1739,"439225,835429773","4471195,91885207",
5098,(TACTICO) ALEJANDRO SANCHEZ O-E,501004,0,20,20,0,1300,N,1739,"439191,133901093","4471194,85148442",
3551,(TACTICO) NAVAHONDA O-E,501104,0,0,0,0,1300,N,1739,"439283,029354031","4471616,07281769",
10358,HOSPITAL GÓMEZ ULLA (SALIDA),512104,85,1,4,0,3000,N,1715,"436698,397905662","4471093,61554321",
