newSegmentId,speedLimit,distance
-00004855-3100-0400-0000-00000001e44f,70,12.38
-00004855-3100-0400-0000-00000001e4a6,50,8.55
-00004855-3100-0400-0000-00000001e4a7,50,18.74
-00004855-3100-0400-0000-00000005081e,50,111.73
-00004855-3100-0400-0000-000000050872,50,50.3
-00004855-3100-0400-0000-000000050873,50,23.21
-00004855-3100-0400-0000-000000050874,50,20.14
-00004855-3100-0400-0000-00000005087a,45,32.31
-00004855-3100-0400-0000-000000050aa0,50,45.19
-00004855-3100-0400-0000-000000050aa1,45,40.06
-00004855-3100-0400-0000-000000050aa9,45,90.24
-00004855-3100-0400-0000-000000050e9d,50,7.67
-00004855-3100-0400-0000-000000050e9e,50,109.19
-00004855-3100-0400-0000-00000005152c,50,94.69
-00004855-3100-0400-0000-00000005156d,50,121.46
-00004855-3100-0400-0000-00000005156e,50,17.28
-00004855-3100-0400-0000-000000051575,50,17.96
-00004855-3100-0400-0000-000000051576,50,26.51
-00004855-3100-0400-0000-00000005157d,70,82.23
-00004855-3100-0400-0000-00000005157e,50,14.07
-00004855-3100-0400-0000-000000051582,70,80.93
-00004855-3100-0400-0000-000000051a55,50,16.02
-00004855-3100-0400-0000-000000051a57,50,161.5
-00004855-3100-0400-0000-000000051a8f,50,3.86
-00004855-3100-0400-0000-000000051a9b,50,63.84
-00004855-3100-0400-0000-000000051aee,50,6.23
-00004855-3100-0400-0000-000000051af8,50,72.9
-00004855-3100-0400-0000-000000051af9,50,19.22
-00004855-3100-0400-0000-000000051b24,60,406.82
-00004855-3100-0400-0000-000000051b68,50,14.51
-00004855-3100-0400-0000-000000051cc2,50,32.08
-00004855-3100-0400-0000-000000051cc3,50,26.76
-00004855-3100-0400-0000-000000051cc5,50,12.52
-00004855-3100-0400-0000-000000051cd1,50,19.02
-00004855-3100-0400-0000-000000051cd2,50,51.76
-00004855-3100-0400-0000-000000051cd7,50,8.85
-00004855-3100-0400-0000-000000051cf1,60,48.32
-00004855-3100-0400-0000-000000051cf4,60,13.05
-00004855-3100-0400-0000-000000051d05,50,24.63
-00004855-3100-0400-0000-000000051d06,50,15.33
-00004855-3100-0400-0000-000000051d1e,60,46.89
-00004855-3100-0400-0000-000000051d21,50,43.22
-00004855-3100-0400-0000-000000051d25,50,33.99
-00004855-3100-0400-0000-000000051d2b,60,514.73
-00004855-3100-0400-0000-000000051d2c,60,19.5
-00004855-3100-0400-0000-000000051d32,60,30.57
-00004855-3100-0400-0000-000000051d33,60,60.26
-00004855-3100-0400-0000-000000051d35,60,35.62
-00004855-3100-0400-0000-000000051d70,50,35.25
-00004855-3100-0400-0000-000000051d7b,50,51.63
-00004855-3100-0400-0000-000000051d7c,50,49.99
-00004855-3100-0400-0000-000000051da8,50,42.0
-00004855-3100-0400-0000-000000051dab,50,15.67
-00004855-3100-0400-0000-000000051db2,50,15.42
-00004855-3100-0400-0000-000000051dc2,50,77.16
-00004855-3100-0400-0000-000000051dc3,50,21.74
-00004855-3100-0400-0000-000000051dcb,50,23.86
-00004855-3100-0400-0000-000000051dce,50,224.71
-00004855-3100-0400-0000-000000051dcf,50,60.78
-00004855-3100-0400-0000-000000051fb5,50,8.4
-00004855-3100-0400-0000-000000051fb7,50,47.09
-00004855-3100-0400-0000-000000051fb9,50,180.74
-00004855-3100-0400-0000-0000000521ec,50,273.58
-00004855-3100-0400-0000-0000000521ed,50,14.62
-00004855-3100-0400-0000-00000005229a,50,48.51
-00004855-3100-0400-0000-000000052387,50,50.44
-00004855-3100-0400-0000-00000005295e,60,10.03
-00004855-3100-0400-0000-000000052961,60,18.32
-00004855-3100-0400-0000-0000000529af,50,121.57
-00004855-3100-0400-0000-0000000529b0,50,16.09
-00004855-3100-0400-0000-0000000529b3,50,26.14
-00004855-3100-0400-0000-0000000529ce,50,35.32
-00004855-3100-0400-0000-000000052a2c,50,10.96
-00004855-3100-0400-0000-000000052a2d,50,48.17
-00004855-3100-0400-0000-000000052a2e,50,17.17
-00004855-3100-0400-0000-000000052a3f,50,26.01
-00004855-3100-0400-0000-000000052a40,50,11.27
-00004855-3100-0400-0000-000000052a41,50,36.77
-00004855-3100-0400-0000-000000052a42,50,29.35
-00004855-3100-0400-0000-000000052a88,50,20.83
-00004855-3100-0400-0000-000000052ac8,60,7.24
-00004855-3100-0400-0000-000000052ad7,60,29.07
-00004855-3100-0400-0000-000000052ad9,70,32.27
-00004855-3100-0400-0000-000000052ae2,60,20.93
-00004855-3100-0400-0000-000000052aec,60,18.18
-00004855-3100-0400-0000-000000052ba2,60,26.3
-00004855-3100-0400-0000-000000052c12,50,12.85
-00004855-3100-0400-0000-000000052c16,50,10.24
-00004855-3100-0400-0000-000000052c20,50,34.69
-00004855-3100-0400-0000-000000052c21,50,90.53
-00004855-3100-0400-0000-000000052c29,50,29.88
-00004855-3100-0400-0000-000000052f09,50,44.5
-00004855-3100-0400-0000-000000052f30,50,9.96
-00004855-3100-0400-0000-000000052f8c,50,51.22
-00004855-3100-0400-0000-000000052f8d,50,8.86
-00004855-3100-0400-0000-0000000531b9,50,18.69
-00004855-3100-0400-0000-0000000531bd,50,20.76
-00004855-3100-0400-0000-0000000531be,50,39.45
-00004855-3100-0400-0000-0000000531bf,50,25.78
-00004855-3100-0400-0000-0000000531c2,60,35.64
-00004855-3100-0400-0000-0000000531ce,30,26.71
-00004855-3100-0400-0000-000000053200,70,44.61
-00004855-3100-0400-0000-000000053203,50,102.13
-00004855-3100-0400-0000-000000053207,90,10.54
-00004855-3100-0400-0000-000000053208,90,29.73
-00004855-3100-0400-0000-000000053211,70,24.96
-00004855-3100-0400-0000-000000053213,50,24.0
-00004855-3100-0400-0000-000000053214,50,32.96
-00004855-3100-0400-0000-000000053215,70,33.55
-00004855-3100-0400-0000-000000053216,70,13.78
-00004855-3100-0400-0000-000000053217,50,47.62
-00004855-3100-0400-0000-000000053275,90,26.38
-00004855-3100-0400-0000-0000000532b1,50,38.0
-00004855-3100-0400-0000-0000000532ec,50,12.84
-00004855-3100-0400-0000-000000053db8,50,13.72
-00004855-3100-0400-0000-000000053e07,50,5.13
-00004855-3100-0400-0000-000000053e08,50,65.94
-00004855-3100-0400-0000-000000053e16,50,111.97
-00004855-3100-0400-0000-000000053e23,70,19.4
-00004855-3100-0400-0000-000000053e25,50,7.33
-00004855-3100-0400-0000-000000053e26,50,18.06
-00004855-3100-0400-0000-000000053e2d,50,17.49
-00004855-3100-0400-0000-000000053e2e,50,10.11
-00004855-3100-0400-0000-000000053e38,50,40.58
-00004855-3100-0400-0000-000000054344,60,31.63
-00004855-3100-0400-0000-000000054346,60,233.25
-00004855-3100-0400-0000-000000054376,60,35.79
-00004855-3100-0400-0000-000000054378,60,46.51
-00004855-3100-0400-0000-0000000543b4,70,111.84
-00004855-3100-0400-0000-0000000543b5,70,30.54
-00004855-3100-0400-0000-000000054849,50,94.33
-00004855-3100-0400-0000-000000054861,50,8.27
-00004855-3100-0400-0000-0000000548bd,50,35.23
